Rk,Player,Age,Tm,Pos,GP,GC,G/GP,A/GP,PTS/GP,GC/GP,PIM/GP,S/GP,Adj G,Adj A,Adj PTS,Adj GC,TGF,PGF,TGA,PGA,+/-,xGF,xGA,E+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,PlayerID
944,Tyler Bozak,32,STL,C,72,14,0.18,0.35,0.53,0.19,0.28,1.96,13,25,38,14,58,19,57,15,-3,36.4,34.8,1.6,1.8,1.4,3.2,5,3,2,60,bozakty01
945,Tyler Ennis,29,TOR,C,51,8,0.24,0.12,0.35,0.16,0.04,1.59,12,6,18,8,22,7,21,0,-6,14.7,15.8,-1.1,1.6,0.2,1.8,1,0,1,0,ennisty01
946,Tyler Johnson,28,TBL,C,80,20,0.36,0.23,0.59,0.26,0.35,2.04,29,18,47,21,90,19,60,4,15,56.5,52.3,4.3,4,1.6,5.7,1,0,1,0,johnsty01
947,Tyler Lewington,24,WSH,D,2,1,0.5,0.5,1,0.4,3.5,1.5,1,1,2,1,3,0,0,0,3,1.5,0.8,0.7,0.3,0.3,0.5,0,,,,lewinty01
948,Tyler Motte,23,VAN,C,74,7,0.12,0.09,0.22,0.09,0.14,1.54,9,7,16,7,26,0,49,11,-12,25.9,35.4,-9.5,-0.1,0.7,0.7,0,,,,mottety01
949,Tyler Myers,28,WPG,D,80,11,0.11,0.28,0.39,0.14,0.79,1.95,9,22,31,11,84,14,88,27,11,53.6,57.9,-4.2,2,3.8,5.8,0,,,,myersty01
950,Tyler Pitlick,27,DAL,C,47,5,0.17,0.09,0.26,0.11,0.13,1.6,8,4,12,5,22,3,26,5,-2,19.9,22.2,-2.3,0.2,0.8,1.1,0,,,,pitlity01
951,Tyler Seguin,27,DAL,C,82,30,0.4,0.57,0.98,0.37,0.22,4.07,33,47,80,31,110,36,69,12,17,67.8,56.6,11.2,6.6,3.1,9.7,3,1,2,33.3,seguity01
952,Tyler Toffoli,26,LAK,C,82,13,0.16,0.26,0.41,0.16,0.28,2.76,13,21,34,13,60,15,76,15,-16,48.3,41.4,6.9,0.9,1.3,2.2,1,1,0,100,toffoty01
953,Tyrell Goulbourne,25,PHI,LW,2,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,,,,goulbty01
954,Tyson Barrie,27,COL,D,78,20,0.18,0.58,0.76,0.26,0.46,2.79,14,45,59,20,110,41,71,1,-3,65.6,55.3,10.3,5.3,3,8.4,0,,,,barrity01
955,Tyson Jost,20,COL,C,70,10,0.16,0.21,0.37,0.14,0.2,1.63,11,15,26,10,43,12,32,0,-2,31,32.2,-1.2,1.2,0.9,2.1,0,,,,jostty01
956,Urho Vaakanainen,20,BOS,D,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-1,0.4,1,-0.6,0,0,-0.1,0,,,,vaakaur01
957,Valentin Zykov,23,TOT,LW,28,2,0.07,0.11,0.18,0.07,0.07,1.04,2,3,5,2,8,4,9,0,-5,9.2,8.5,0.6,-0.1,0.1,0.1,0,,,,zykovva01
958,Valeri Nichushkin,23,DAL,RW,57,3,0,0.18,0.18,0.05,0,1.14,0,10,10,3,23,2,26,1,-4,24.2,22.4,1.9,-0.9,0.8,-0.1,0,,,,nichuva01
959,Valtteri Filppula,34,NYI,C,72,13,0.24,0.19,0.43,0.18,0.22,1.08,17,14,31,13,47,3,34,9,19,31.3,37.8,-6.5,2,2,3.9,3,0,3,0,filppva01
960,Victor Hedman,28,TBL,D,70,18,0.17,0.6,0.77,0.25,0.63,2.6,12,42,54,18,125,45,70,13,24,53.6,52,1.7,4.7,4.3,8.9,5,4,1,80,hedmavi01
961,Victor Mete,20,MTL,D,71,3,0,0.18,0.18,0.05,0.08,0.92,0,13,13,4,57,1,44,5,17,55.7,47.2,8.5,-0.2,3.7,3.5,0,,,,metevi01
962,Victor Olofsson,23,BUF,RW,6,2,0.33,0.33,0.67,0.27,0.33,3.5,2,2,4,2,6,2,3,0,1,5.4,2.5,2.8,0.3,0.2,0.5,0,,,,olofsvi01
963,Victor Rask,25,TOT,C,49,3,0.06,0.12,0.18,0.07,0.16,1.12,3,6,9,3,17,4,17,0,-4,17.3,19.7,-2.4,-0.4,0.6,0.2,0,,,,raskvi01
964,Viktor Arvidsson,25,NSH,LW,58,23,0.59,0.24,0.83,0.39,0.45,3.36,34,14,48,22,76,15,55,5,12,46.6,43.6,2.9,5.3,1.7,7,0,,,,arvidvi01
965,Vince Dunn,22,STL,D,78,13,0.15,0.29,0.45,0.16,0.58,1.92,12,23,35,13,77,20,44,1,14,61.5,43.3,18.2,3,4.1,7.2,0,,,,dunnvi02
966,Vincent Trocheck,25,FLA,C,55,12,0.18,0.44,0.62,0.21,0.98,2.87,10,24,34,12,59,20,62,14,-9,35.3,37,-1.7,1.4,0.9,2.3,5,2,3,40,trochvi01
967,Vinni Lettieri,23,NYR,C,27,1,0.04,0.07,0.11,0.04,0.52,1.48,1,2,3,1,6,2,11,1,-7,10.1,10.9,-0.8,-0.4,0.1,-0.3,0,,,,lettivi01
968,Vinnie Hinostroza,24,ARI,C,72,15,0.22,0.32,0.54,0.21,0.19,2.11,16,23,39,15,47,7,46,2,-4,40.3,40.3,0,2.7,1.5,4.2,4,2,2,50,hinosvi01
969,Vitaly Abramov,20,OTT,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-3,0.1,0.9,-0.8,0,-0.1,-0.1,0,,,,abramvi01
970,Vladimír Sobotka,31,BUF,C,69,5,0.07,0.12,0.19,0.07,0.38,1.03,5,8,13,5,25,0,58,13,-20,23.7,40.4,-16.7,-0.9,0.5,-0.4,1,0,1,0,sobotvl01
971,Vladimir Tarasenko,27,STL,RW,76,27,0.43,0.46,0.89,0.36,0.29,3.62,33,35,68,28,93,30,55,0,8,61.4,44.5,16.9,6.2,2.1,8.3,4,0,4,0,tarasvl01
972,Vladislav Kamenev,22,COL,LW,23,2,0.09,0.13,0.22,0.08,0.43,0.96,2,3,5,2,10,4,11,3,-2,4.8,6.9,-2.1,0.1,0.1,0.3,0,,,,kamenvl01
973,Vladislav Namestnikov,26,NYR,C,78,11,0.14,0.26,0.4,0.15,0.56,1.53,11,20,31,11,57,15,64,15,-7,39.1,43.3,-4.2,0.8,1.2,2,0,,,,namesvl01
974,Wade Megan,28,DET,C,11,0,0,0.09,0.09,0.02,0.18,1.45,0,1,1,0,2,0,7,1,-4,3.5,3.7,-0.3,-0.1,-0.1,-0.2,0,,,,meganwa01
975,Warren Foegele,22,CAR,LW,77,7,0.13,0.06,0.19,0.09,0.26,1.38,10,5,15,7,25,0,57,15,-17,37.6,31.5,6.1,-0.1,0.5,0.4,0,,,,foegewa01
976,Wayne Simmonds,30,TOT,RW,79,13,0.22,0.16,0.38,0.16,1.25,1.99,17,13,30,13,55,16,56,0,-16,38.8,37.3,1.5,1.2,0.7,1.9,0,,,,simmowa01
977,Will Butcher,24,NJD,D,78,9,0.05,0.33,0.38,0.12,0.23,1.38,4,26,30,9,82,25,75,1,-17,54.7,47.4,7.3,1.7,2.4,4.1,0,,,,butchwi01
978,William Borgen,22,BUF,D,4,0,0,0,0,0,0,0.5,0,0,0,0,0,0,5,0,-5,2.8,3.3,-0.5,-0.1,-0.2,-0.3,0,,,,borgewi01
979,William Carrier,24,VEG,LW,54,5,0.15,0.02,0.17,0.09,0.54,1.57,8,1,9,5,14,0,18,0,-4,25.9,21.4,4.5,0.3,0.5,0.7,0,,,,carriwi01
980,William Karlsson,26,VEG,C,82,22,0.29,0.39,0.68,0.27,0.2,2.06,24,32,56,22,85,20,74,10,1,55.4,45.7,9.7,3.9,1.8,5.7,4,1,3,25,karlswi01
981,William Nylander,22,TOR,C,54,9,0.13,0.37,0.5,0.17,0.3,2.41,7,20,27,9,43,10,38,1,-4,40.6,30.6,10,1.1,0.6,1.6,1,0,1,0,nylanwi01
982,Xavier Ouellet,25,MTL,D,19,1,0,0.16,0.16,0.04,0.68,1.68,0,3,3,1,8,0,15,4,-3,14,9.6,4.5,-0.1,0.4,0.3,0,,,,ouellxa01
983,Yanni Gourde,27,TBL,C,80,19,0.28,0.33,0.6,0.24,0.83,1.63,22,26,48,19,77,19,62,13,9,45.4,44.3,1.1,3.5,1.4,4.9,0,,,,gourdya01
984,Yannick Weber,30,NSH,D,62,3,0.03,0.1,0.13,0.04,0.29,1.08,2,6,8,3,29,0,26,3,7,28.8,30.4,-1.6,0.1,2.1,2.3,0,,,,weberya01
985,Zac Dalpe,29,CBJ,RW,1,0,0,1,1,0.28,0,1,0,1,1,0,1,0,0,0,1,0.2,0.9,-0.7,0.1,0,0.1,0,,,,dalpeza01
986,Zac Rinaldo,28,NSH,C,23,1,0.04,0.09,0.13,0.05,0.87,0.48,1,2,3,1,4,0,3,0,1,3.9,4.8,-0.9,0,0.2,0.2,0,,,,rinalza01
987,Zach Aston-Reese,24,PIT,C,43,7,0.19,0.21,0.4,0.16,0.6,1.77,8,9,17,7,26,0,23,9,12,22.1,18.1,4.1,0.9,1.1,1.9,0,,,,astonza01
988,Zach Bogosian,28,BUF,D,65,6,0.05,0.25,0.29,0.09,0.8,1.43,3,16,19,6,56,1,80,20,-5,47.9,56.4,-8.5,0.5,3.2,3.7,0,,,,bogosza01
989,Zach Hyman,26,TOR,C,71,17,0.3,0.28,0.58,0.24,0.92,2.03,21,20,41,17,73,2,75,21,16,61.3,51,10.3,2.8,1.6,4.5,0,,,,hymanza01
990,Zach Parise,34,MIN,LW,74,24,0.38,0.45,0.82,0.32,0.35,3.09,28,33,61,24,84,25,73,12,-2,44.2,38.7,5.5,5,1.9,6.9,5,1,4,20,parisza01
991,Zach Sanford,24,STL,LW,60,8,0.13,0.2,0.33,0.13,0.35,1.28,8,12,20,8,31,1,24,2,8,30.5,24.9,5.6,0.7,1.3,2,0,,,,sanfoza01
992,Zach Trotman,28,PIT,D,13,0,0,0.08,0.08,0.02,0.31,1.23,0,1,1,0,8,1,4,1,4,8.3,6.8,1.5,-0.1,0.6,0.5,0,,,,trotmza01
993,Zach Werenski,21,CBJ,D,82,15,0.13,0.4,0.54,0.19,0.22,2.05,11,33,44,15,96,20,102,13,-12,68,70.7,-2.7,3.4,3.1,6.5,0,,,,werenza01
994,Zachary Senyshyn,21,BOS,RW,2,1,0.5,0,0.5,0.27,0,2,1,0,1,1,1,0,2,1,0,0.7,0.8,-0.1,0.1,0,0.2,0,,,,senysza01
995,Zack Kassian,28,EDM,RW,79,11,0.19,0.14,0.33,0.14,1.29,1.41,15,11,26,11,54,0,73,13,-6,42.9,47.5,-4.6,0.9,1.1,2,0,,,,kassiza01
996,Zack MacEwen,22,VAN,C,4,0,0,0.25,0.25,0.07,1.25,0.5,0,1,1,0,1,0,5,0,-4,1.1,1,0.1,0,-0.1,-0.1,0,,,,macewza01
997,Zack Smith,30,OTT,C,70,10,0.13,0.27,0.4,0.14,1.16,1.44,9,19,28,10,39,0,60,14,-6,34.4,43.5,-9.1,0.5,1.1,1.5,0,,,,smithza01
998,Zdeno Chára,41,BOS,D,62,5,0.08,0.15,0.23,0.08,0.92,1.6,5,9,14,5,65,3,70,30,22,47.2,41.3,5.9,0.3,4.5,4.8,0,,,,charazd01
999,Zemgus Girgensons,25,BUF,C,72,6,0.07,0.18,0.25,0.09,0.24,1.08,5,13,18,6,26,0,55,18,-11,27.5,32.4,-4.9,-0.4,0.8,0.4,0,,,,girgeze01
