Rk,Player,Tm,Pos,Shift,GP,,TOI (EV),CF% Rel (EV),GF/60 (EV),GA/60 (EV),,TOI (PP),CF% Rel (PP),GF/60 (PP),GA/60 (PP),,TOI (SH),CF% Rel (SH),GF/60 (SH),GA/60 (SH),PlayerID
97,Boone Jenner,CBJ,C,0:46,75,,14:13,-6.2,2.5,2.3,,1:19,-0.6,3.6,1.8,,0:54,-2.5,0,10.7,jennebo01
98,Brad Hunt,VEG,D,0:47,45,,14:10,0,2.2,2.5,,2:23,0,9.6,1.1,,0:04,-16.8,0,0,huntbr01
99,Brad Malone,EDM,C/LW,0:27,7,,7:24,6.2,0,0,,0:01,8.5,0,0,,0:33,-10,0,0,malonbr01
100,Brad Marchand,BOS,LW,0:47,68,,14:49,4.4,4.2,2.7,,3:05,3.4,10.3,1.7,,1:48,7.3,2.4,5.9,marchbr03
101,Brad Richardson,ARI,C,0:35,76,,12:36,-1.5,1.7,3.1,,0:05,-30.5,0,0,,2:04,-4.4,0,6,richabr02
102,Brady Skjei,NYR,D,0:38,82,,18:17,1.7,2,3.1,,1:12,-0.9,6.1,0.6,,1:31,-0.1,0.5,6.2,skjeibr01
103,Brandon Carlo,BOS,D,0:48,76,,16:23,-2.1,2.6,2.3,,0:02,-25.2,5.8,0,,2:47,-1.9,1.4,7.1,carlobr01
104,Brandon Davidson,TOT,D,0:34,51,,15:00,-1.6,2.3,2.8,,0:03,-91.5,0,0,,1:45,-3.3,1.1,5.6,davidbr01
105,Brandon Dubinsky,CBJ,C,0:37,62,,13:25,-6.9,2,2.4,,0:18,-2,3.1,0,,1:35,-1.8,1.2,7.9,dubinbr01
106,Brandon Manning,PHI,D,0:41,65,,16:24,0.9,2.3,2.3,,0:16,-6.5,3.3,3.3,,1:15,2.9,1.4,8.4,mannibr01
107,Brandon Montour,ANA,D,0:50,80,,17:00,2,2.8,2.3,,2:14,-1.1,5.8,0.3,,1:12,4.2,2.5,7.5,montobr01
108,Brandon Pirri,VEG,C,0:58,2,,15:16,8.5,5.9,0,,2:20,13.1,0,0,,0:00,,,,pirribr01
109,Brandon Saad,CHI,LW,0:30,82,,13:39,5.7,2.7,3.1,,2:07,-2.2,6.2,0.7,,1:42,3.7,0,6.4,saadbr01
110,Brandon Sutter,VAN,C/RW,0:48,61,,14:00,-6.8,2.2,1.9,,0:12,-11.1,0,0,,3:05,-0.7,1.3,8.3,suttebr03
111,Brandon Tanev,WPG,LW,0:40,61,,10:37,-0.3,2.3,1.5,,0:04,-19.9,0,0,,1:57,-6.5,2,6.5,tanevbr01
112,Brayden McNabb,VEG,D,0:40,76,,17:21,-0.3,3.4,2.4,,0:04,-6.4,0,0,,2:43,-1.4,1.1,6.5,mcnabbr01
113,Brayden Point,TBL,C,0:46,82,,15:18,0.5,3.3,2.6,,2:18,-1.6,8,0.6,,2:00,2.2,1.8,9.9,pointbr01
114,Brayden Schenn,STL,C,0:49,82,,15:58,4.4,3.4,2.7,,3:11,1.4,6.7,1.4,,0:32,6.4,0,2.7,schenbr01
115,Braydon Coburn,TBL,D,0:39,72,,13:53,-3,2.5,2.4,,0:01,,0,0,,2:05,1,0.8,7.6,coburbr01
116,Brendan Gallagher,MTL,RW,0:49,82,,13:27,5.3,2.7,3.2,,2:26,-1.4,9.3,1.5,,0:14,10.1,2.4,14.4,gallabr01
117,Brendan Gaunce,VAN,C,0:40,37,,11:25,-1.2,1.7,1.7,,0:02,15.3,35,0,,1:50,9.8,0,8.9,gauncbr01
118,Brendan Guhle,BUF,D,0:37,18,,16:45,4.3,2.8,4,,0:55,-18.2,0,0,,0:25,10.4,0,15.9,guhlebr01
119,Brendan Leipsic,TOT,LW,0:52,58,,12:17,0.5,2.9,3.7,,0:51,7.5,7.9,0,,0:00,,0,0,leipsbr01
120,Brendan Lemieux,WPG,LW,0:44,9,,7:25,2.8,2.7,0.9,,0:31,-17.1,0,0,,0:00,,,,lemiebr01
121,Brendan Perlini,ARI,LW,0:33,74,,12:43,-1,2.5,2.4,,1:46,-4.5,7.6,1.8,,0:01,-11.2,0,0,perlibr01
122,Brendan Smith,NYR,D,0:36,44,,15:41,0.9,2.9,2.8,,0:03,13.2,25.5,0,,1:25,3.3,0,12.4,smithbr05
123,Brenden Dillon,SJS,D,0:38,81,,15:50,0.5,2.7,3.1,,0:02,-6.3,0,0,,1:26,6.9,1,4.1,dillobr01
124,Brent Burns,SJS,D/RW,0:47,82,,20:03,5.8,2.3,3,,3:40,4.5,8.3,0.4,,1:30,4.6,1.9,4.4,burnsbr01
125,Brent Seabrook,CHI,D,0:35,81,,15:57,-1.1,2.6,2.8,,2:06,-1.3,5.3,0.7,,2:07,-3.4,0.7,9,seabrbr01
126,Brett Connolly,WSH,RW,0:42,70,,10:32,-1.6,2.8,3.1,,1:26,-8.8,6.5,1.2,,0:00,57.1,0,0,connobr01
127,Brett Kulak,CGY,D,0:41,71,,12:39,-2,2.4,2.6,,0:02,12.2,0,0,,0:16,-4.3,0,6.7,kulakbr01
128,Brett Lernout,MTL,D,0:35,18,,15:29,-2.6,1.1,2.4,,0:00,,0,0,,1:13,10.6,2.7,8.1,lernobr01
129,Brett Pesce,CAR,D,0:49,65,,18:16,-0.5,2.4,2.7,,0:17,-12,3.2,0,,2:21,-0.4,0.4,9,pescebr01
130,Brett Ritchie,DAL,RW,0:32,71,,9:23,5.7,2,1.7,,1:26,1.7,5.3,1.2,,0:00,-12.3,,,ritchbr01
131,Brian Boyle,NJD,C,0:32,69,,10:58,1.3,2.2,2.8,,2:03,0.3,7.2,0.4,,0:15,-10.5,0,13.8,boylebr01
132,Brian Dumoulin,PIT,D,0:48,80,,17:51,1.1,2.7,3,,0:13,-16.5,0,0,,2:31,-0.5,0.3,7.4,dumoubr01
133,Brian Gibbons,NJD,C,0:30,59,,11:33,-4.3,2.7,2.3,,0:03,-52.7,0,0,,2:47,-5.7,1.4,5,gibbobr02
134,Brian Gionta,BOS,RW,0:38,20,,10:50,0.3,1.1,0.8,,1:53,-0.4,11.1,3.2,,0:20,-0.9,0,0,giontbr01
